,approve,company_fullname,company_size,education,finance_phase,industry_field,industry_lables,job_advantagelist,job_experience,job_id,job_lables,job_name,job_status,city,company_shortname,salary,job_type,release_time,skill_lables,work_place,job_description
0,1,上海永辉云创科技有限公司,2000人以上,本科,D轮及以上,"电子商务,O2O",Null,待遇优、空间大、平台好股票期权 带薪年假 扁平管理 管理规范 ,3-5年,5864318,数据分析 SQL 可视化 数据库 ,数据分析师,全职,上海,永辉云创科技有限公司,25k-40k,产品|需求|项目类-数据分析-数据分析,2019/4/24 18:04,数据分析 SQL 可视化 数据库 ,"
上海 -
                    徐汇区 -
                    虹梅路
                                            - 田林路200号华鑫天地A5栋3楼
                                                            查看地图
","工作职责:1、负责一条业务线或业务模块的数据分析，包括且不限于数据规划、业务沟通、沉淀分析思路与框架，寻找数据驱动业务的最大价值点，形成数据解决方案；2、融入对应业务团队闭环合作，根据对业务的理解，负责对应业务指标体系设计&优化、诊断分析、决策支持、数据化运营等；3、独立完成价值判断、业务规划、prd以及推动项目落地拿到结果；4、整体规划业务的数据分析产品，通过灵活可扩展的数据仪表、可视化的数据看板，用产品及数据能力支撑一线员工进行针对性的数据；任职资格:1、具有良好的理科思维、产品规划、设计与落地能力：3年以上数据分析经验，具有ownership以及高度的责任心和自驱力；2、具备良好的数据敏感度、业务视野、调研分析能力及深度思考能力，能够敏锐的捕获用户需求，提供相匹配的数据交付；3、熟悉数据采集及集成、数据仓库、数据集市，对数据生产流程、数据资产管理以及数据库有深入理解；4、有良好的沟通能力，善于合作、能够跨部门/团队跟合作团队达成一致目标拿到结果；5、有批判性思维，接受不同意见帮助自己和团队共同成长； 6、熟练使用 S Q L 语言等数据分析工具。"
1,1,亿达信息技术（深圳）有限公司,2000人以上,本科,不需要融资,"移动互联网,游戏",Null,数据分析,1-3年,5858490,SQL 数据库 ,数据分析,全职,深圳,YIDATEC,6k-9k,产品|需求|项目类-数据分析-数据分析,2019/4/24 23:24,SQL 数据库 ,"
深圳 -
                    南山区 -
                    西丽
                                            - 科技园
                                                            查看地图
","
职责：
1.负责微视全部功能数据埋点制定；
2.协助数据分析师进行业务数据洞察；
3.进行数据支撑工作
要求：
1.熟练使用excel；
2.熟练使用SQL进行数据提取及分析；
3.具备ETL优先考虑（熟悉mysql等数据库，熟悉hadoop，hive，熟悉pel、shell脚本。"
2,1,北京数美时代科技有限公司,150-500人,本科,B轮,"企业服务,数据服务",大数据 搜索 数据挖掘 数据分析 ,"大牛导师,海量数据,飞速发展年底双薪 大数据 带薪年假 通讯津贴 ",应届毕业生,4046745,大数据 搜索 数据挖掘 数据分析 ,数据分析（实习／校招）,实习,北京,数美,4k-8k,开发|测试|运维类-数据开发-数据分析,2019/4/24 21:55,搜索 数据挖掘 数据分析 ,"
北京 -
                    朝阳区 -
                    望京
                                            - 望京诚盈中心
                                                            查看地图
","

【岗位职责】
1、负责产品的策略、效果的分析，给出策略持续优化的意见
2、深入理解业务，发现业务特征，进行衍生数据价值挖掘

【任职条件】
1、数学、统计学、经济学、计算机等相关专业者优先；本科及以上学历
2、熟练掌握多种统计和分析方法，精通SQL、Excel等
3、思路开阔且灵活，对数字敏感，善于从数据中发现问题并抓住重点；
4，具备良好的数据敏感度、良好的逻辑思维，能及时发现和分析数据中隐含的变化和问题；
5、良好的逻辑思维能力，能够从海量数据中发现有价值的规律




公司福利待遇：
有竞争力的薪酬
期权奖励
五险一金+商业保险
午餐+晚餐补助
交通+通讯+电脑补贴
结婚+生育+丧葬+住院礼金
伯乐奖金
年假8天起+带薪病假
年度体检、零食畅享、团队建设、生日会、弹性办公
 

数美领先的大数据技术、产品与服务提供商
我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。
这个世界，就是掩藏在表象之下，被数据所揭示的世界！
数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 
我们正在寻找不平凡的你，和我们一起“发现数据之美”
欢迎投递简历


【关于数美】www.ishumei.com
      数美由百度、小米、360等顶尖互联网公司联合投资的大数据公司，致力于利用人工智能技术和海量数据解决金融、互联网等领域广泛存在的欺诈问题，先后推出了信贷反欺诈、内容反欺诈、行为反欺诈等系列产品，      
     目前已服务数百家客户，覆盖直播、金融、支付、社交、电商、游戏、O2O等行业。其中包括中信银行、360、小米、58同城、爱奇艺、酷狗、用钱宝、点融、挖财、闪银、熊猫TV、花椒、唱吧等知名企业，并与腾讯云、金山云、七牛云等云服务提供商展开深度合作。
    数美的创始人唐会军在搜索、安全、语音识别等大数据领域拥有十余年研发经验，曾历任百度系统技术负责人、360高级技术总监等职位。创始团队均来自百度、360、小米、宜信、FICO等知名互联网公司，数美核心团队是国内最早一批从事大数据平台与应用研发的团队，曾负责过的大数据平台规模居全球前十。国际顶尖反欺诈技术，拥有十余项专利，同时在安全，反作弊、推荐，广告，语音识别等领域有着丰富的大数据成功应用经验。
           www.ishumei.com
"
3,1,上海合合信息科技发展有限公司,150-500人,本科,C轮,移动互联网,大数据 移动互联网 ,五险一金 扁平化管理团队建设 技能培训 节日礼物 年底分红 ,1-3年,5864560,大数据 移动互联网 ,数据分析,全职,上海,名片全能王,8k-15k,产品|需求|项目类-数据分析-数据分析,2019/4/24 18:54,Null,"
上海 -
                    静安区
                                            - 万荣路1268号 市北高新云立方A座11楼
                                                            查看地图
","
        工作职责:
1、日常数据监控，包括但不限于报表、推送、报告等
2、随产品版本跟进埋点、测试数据等
3、跨部门合作，梳理维护数据源，建立适用于产品的数据分析框架
4、通过数据验证业务发展方向，优化现有工作流程

任职资格:
1、熟练掌握SQL
2、熟练使用BI工具（tableau、finereport等）
3、熟悉大数据组件（kafka、spark、hive、zepplin等），有一定编程能力
4、熟悉业务埋点方式、后台&API采集数据方式
5、熟悉互联网产品常用的数据分析方法论（aarrr、a/btest等），具有结构化思维
6、对市场营销、广告投放有一定认识
7、较强的人际沟通能力&工作规划能力

"
4,1,深圳前海用友力合金融服务有限公司,500-2000人,本科,不需要融资,金融,Null,公司平台大薪酬福利优一年多薪节日礼物 带薪年假 绩效奖金 岗位晋升 ,1-3年,5666110,SQL ,数据分析岗,全职,深圳,友金所,8k-14k,产品|需求|项目类-数据分析-数据分析,2019/4/24 17:50,SQL ,"
深圳 -
                    南山区
                                            - 科华路讯美科技广场2号楼19楼
                                                            查看地图
","
岗位职责：
1、使用SQL、Python软件，根据部门需求，完善分析类报表体系；
2、对接IT部门数据接口，保证每日基础数据准确性，及时更新基础数据关键字段口径；
3、日常监控数据指标，对异常指标进行分析，提供调整意见；
4、优化公司现有Excel统计报表、使用SQL、SAS进行预处理提高效率。
 
岗位要求：
1、本科及以上学历，半年至两年工作经验，数学、统计学、计量经济、金融等相关专业；
2、有MS Excel、SQL、Python等数据分析工具使用经历；
3、有较强的学习能力、数据分析处理及逻辑思维能力；
4、工作细心、责任心强、为人正直，良好的团队沟通和合作能力。
"
5,1,上海百事通信息技术股份有限公司,500-2000人,本科,上市公司,移动互联网,移动互联网 其他 ,上市公司 专业培训 定期体检带薪年假 节日礼物 定期体检 岗位晋升 ,1-3年,5385860,移动互联网 其他 ,数据分析,全职,广州,百事通,12k-16k,产品|需求|项目类-数据分析-数据分析,2019/4/24 13:58,Null,"
广州 -
                    越秀区 -
                    人民北路
                                            - 东风西路191号国际银行中心10楼
                                                            查看地图
","
工作职责：
1、 能熟练使用各软件，对各种数据进行收集和处理，整理成有用的信息供公司领导决策；
2、负责各类数据的整理、汇总和分析处理工作，并编制成报表。及时向上级领导及有关部门上报相关报表；
3、研究数据分析的方法，做到报表制作简单、方便、实用，以保证各类数据分析分析报表的规范和优化；
4、建立部门每日、周、月、季、年度数据分析报表，根据上级需求制作各种专题报告；
5、建立完善的数据库及知识库，为后期数据统计、知识 解答工作提供支持；
6、做好各类数据的保密工作， 严禁向未授权部门及个人提供各类信息数据；
7、协助公司各部门进行分析报告相关信息的收集；
8、根进上级领导交办的其它工作任务；

任职资格：
1、本科以上学历，数学、统计学、数据分析相关专业；
2、2年以上数据处理、报表管理、分析报告相关工作经验。熟练应用excel/ppt等办公软件，了解数据库知识，熟练使用SQL数据库，掌握R语言 、SPSS、eviews、VBA和数据分析工具者优先；
3、对数字有较强的敏锐性，有独立的思维能力和判断力；
4、执行力强，有较强的工作责任心和严谨细致的个人品质，良好的团队协作素质，能胜任高负荷的工作环境；
5、有法学背景、法律行业或政府合作项目相关工作经验优先。
"
6,1,北京华悦数金科技有限公司,2000人以上,本科,不需要融资,移动互联网 金融,互联网金融 ,五险一金、餐补、周末双休、绩效奖金、旅游年底双薪 午餐补助 五险一金 绩效奖金 ,不限,5849157,互联网金融 ,数据分析师,全职,北京,北京华悦数金,10k-20k,产品|需求|项目类-数据分析-数据分析,2019/4/25 0:26,Null,"
北京 -
                    朝阳区 -
                    小关
                                            - 天圆祥泰大厦
                                                            查看地图
","
职位描述：
1、 负责数据整理、挖掘及分析工作，定期出具数据报告及分析报告；
2、 能对多种数据源的进行深度诊断性组合分析、挖掘、深度分析和建模；
3、 为公司运营决策、产品方向、策略提供数据支持；
4、针对具体的业务事件，研究业务开拓中的局限性或亮点，进行数据分析并提出优化方案或提炼可复制的模板。
任职要求：
1、本科及以上学历，有统计学、经济学、社会学、数学，计算机等相关专业；
2、良好的数据敏感度,能从海量数据提炼核心结果；具有较强逻辑思维能力和优秀的分析能力和数据挖掘能力；熟练独立编写商业数据分析报；
3、 熟练使用至少一种统计软件和统计工具，如SPSS、SAS、GoogleAnalyticss、Omniture；
4、 了解和熟悉至少一种数据库软件，如：oracle、mysql、sqlserver等；
5、 为人诚信正直，高度的责任心，良好的沟通和协调能力，能承受较强的工作压力，积极主动。
"
7,1,虎扑（上海）文化传播股份有限公司,150-500人,本科,D轮及以上,"移动互联网,文化娱乐",社交 移动互联网 ,"弹性工作,节日福利,五险一金,免费晚餐上班看球赛 运动俱乐部 大神分享会 偶像零距离 ",3-5年,5864484,社交 移动互联网 ,数据分析师（小回音APP）,全职,上海,虎扑,10k-20k,产品|需求|项目类-数据分析-数据分析,2019/4/24 18:35,Null,"
上海 -
                    虹口区 -
                    江湾
                                            - 中山北一路121号花园坊A2座3楼
                                                            查看地图
","
工作职责:
 1、应用数据统计，数据挖掘的专业知识和技能，获取数据并对数据做出可以影响实际决策的解读，通过数据理解用户在用户产品中的行为；
2、同项目团队一起去解决实际的问题，获取并了解项⽬的发展趋势和在整个产品中的定位；
3、⽀持，影响和参与到产品的决策和产品的迭代当中；
4、数据分析师会实际参与到如下的工作领域中；
5、产品分析项⽬目：
     □ 参与设定评估团队核心指标并对核心指标做出未来发展的预测；
      □ 监测产品核心指标，能找到核心指标变化的本质原因；
      □ 建设，分析并维护DashBoard和给出数据报告； 
6、探索性分析：
      □ 对于产品和项目的下一阶段目标和roadmap给出基于数据的建议；
      □ 建设核心数据，进行探索性分析，并给出策略建议；
      □ 能对领域内的产品生态，用户行为和长期趋势给出自己的见解；
      □ 不断尝试找到提升核心数据指标的新的抓手；
      □ 建立用户行为分析模型去辅助产品；
 
任职资格:
 
1、重点本科及以上学历，计算机，数学，统计学或者相关的专业；
2、3年左右数据分析工作经验，对于SQL有实际的操作经验；3、对统计学有深⼊理解 (e.g., hypothesis testing, regressions)；
4、附加要求： 拥有计算机，数学，统计学或者相关专业的本科以上学历；
"
8,1,上海永辉云创科技有限公司,2000人以上,本科,D轮及以上,"电子商务,O2O",Null,待遇优、空间大、平台好股票期权 带薪年假 扁平管理 管理规范 ,3-5年,5864318,数据分析 SQL 可视化 数据库 ,数据分析师,全职,上海,永辉云创科技有限公司,25k-40k,产品|需求|项目类-数据分析-数据分析,2019/4/24 18:04,数据分析 SQL 可视化 数据库 ,"
上海 -
                    徐汇区 -
                    虹梅路
                                            - 田林路200号华鑫天地A5栋3楼
                                                            查看地图
","
工作职责:1、负责一条业务线或业务模块的数据分析，包括且不限于数据规划、业务沟通、沉淀分析思路与框架，寻找数据驱动业务的最大价值点，形成数据解决方案；2、融入对应业务团队闭环合作，根据对业务的理解，负责对应业务指标体系设计&优化、诊断分析、决策支持、数据化运营等；3、独立完成价值判断、业务规划、prd以及推动项目落地拿到结果；4、整体规划业务的数据分析产品，通过灵活可扩展的数据仪表、可视化的数据看板，用产品及数据能力支撑一线员工进行针对性的数据；任职资格:1、具有良好的理科思维、产品规划、设计与落地能力：3年以上数据分析经验，具有ownership以及高度的责任心和自驱力；2、具备良好的数据敏感度、业务视野、调研分析能力及深度思考能力，能够敏锐的捕获用户需求，提供相匹配的数据交付；3、熟悉数据采集及集成、数据仓库、数据集市，对数据生产流程、数据资产管理以及数据库有深入理解；4、有良好的沟通能力，善于合作、能够跨部门/团队跟合作团队达成一致目标拿到结果；5、有批判性思维，接受不同意见帮助自己和团队共同成长； 6、熟练使用 S Q L 语言等数据分析工具。
"
9,1,上海谨拍电子商务有限公司,2000人以上,本科,D轮及以上,"移动互联网,电子商务",Null,五险一金，团建多，带薪年假，免费班车，带薪年假 岗位晋升 扁平管理 带薪事假 ,3-5年,5848841,数据分析 数据库 SQL ,数据分析师（互联网行业）,全职,上海,天天拍车,15k-22k,产品|需求|项目类-数据分析-数据分析,2019/4/24 15:18,数据分析 数据库 SQL ,"
上海 -
                    闵行区 -
                    龙柏
                                            - 合川路3111号近铁虹桥中心3号楼副楼02底3楼
                                                            查看地图
","
工作职责：
1、负责各种常规统计报表的开发、维护;
2、对接各数据需求方,处理临时性数据分析业务,对外提供数据支持;
3、深入了解各业务环节,运用分析方法,发掘业务中潜在的问题,并提出改进建议;
4、探索并发掘有价值的数据分析项目或方案;
5、运用机器学习算法,搭建模型,挖掘用户、产品方面的有价值信息；
工作要求：
1、全日制本科以上学历,数学、经济学、统计学、计算机等统计相关专业优先,211、985高校优先;
2、3年以上数据分析或数据挖掘经验,且有实际的项目经历;
3、熟悉一种或者几种主流数据库,如Mysql、GreenPlum、Oracle等,精通SQL语言;
4、掌握R、Python、SAS等数据分析语言中的一种或多种,熟悉Tableau等BI工具,精通MS excel;
5、熟悉常用的机器学习算法,如逻辑回归、决策树、神经网络等;
6、思路清晰,逻辑思维能力强,具有优秀的分析能力及审美观。
"
10,1,北京云动九天科技有限公司,150-500人,本科,C轮,"移动互联网,电子商务",电商 数据分析 SQL ,成长空间、技能提升、免费三餐技能培训 专项奖金 带薪年假 绩效奖金 ,3-5年,5849134,电商 数据分析 SQL ,数据分析师,全职,北京,省钱快报,20k-40k,产品|需求|项目类-数据分析-数据分析,2019/4/24 20:29,数据分析 SQL ,"
北京 -
                    东城区 -
                    雍和宫
                                            - 东安定门内国子监箭厂胡同22号雍和别墅
                                                            查看地图
","
职位描述：
1、基于用户的行为数据、购物数据、商品数据挖掘用户相关的静态/动态特征；
2、负责搭建不同场景下的预测模型，如新增设备下单转化预估模型，流失用户召回概率模型；
3、与产品业务部门密切配合寻求数据层面的商业价值，调研分析新业务应用场景；
4、推动模型结果落地到业务场景，持续优化精细化运营，如红包补贴、PUSH、推送等。

岗位要求： 
1、重点大学本科及以上学历，计算机、数学、统计学、物理等相关专业优先；
2、有丰富的统计、预测和建模经验，扎实的机器学习与数据挖掘理论和技术基础，有编程基础，精通熟悉一门编程语言；
3、良好的逻辑思维能力，能够从海量数据中发现有价值的规律。
"
11,1,塞纳德（北京）信息技术有限公司,500-2000人,本科,不需要融资,"移动互联网,社交网络",Null,"六险一金,全薪病假,办公环境棒午餐补助 定期体检 带薪年假 五险一金 ",3-5年,5864828,数据分析 ,数据分析师（资源分析）,全职,北京,爱卡汽车,15k-20k,产品|需求|项目类-数据分析-数据分析,2019/4/24 20:25,数据分析 ,"
北京 -
                    朝阳区
                                            - 北四环中路27号盘古大观A座17F
                                                            查看地图
","
岗位职责：
1、负责对全站收入资源的收益研究，定期输出资源管理的意见，包括价格管理、资源分级等；
2、根据公司业务发展，对新增的创新售卖，在资源分级、定价等方面独立完成模型搭建，并适用于业务应用；
3、负责全站三端收入类资源梳理和用户行为分析，提供资源优化建议；
4、定期对收入类资源、客户媒介购买特征等完成资源运营分析报告，为业务端提供资源使用推荐；
5、结合竞品和行业广告发展，用户行为等，与公司其他团队紧密合作，推动广告商业化进展。
任职资格：
1、统计学、数学等相关专业，本科及以上学历；
2、有3年以上互联网工作经验，熟知互联网广告知识，有大型互联网广告公司或广告媒体行业从业经验优先；
3、具有较强的数据敏感性，熟练使用各类数理统计、数据分析、挖掘等软件；
4、具备优秀的数据分析及图表表达能力，思路清晰，独立思考能力强；
5、优秀的执行能力，沟通协调能力和创新精神，强烈的责任心和严谨的工作态度。
"
12,1,广东精点数据科技股份有限公司,150-500人,本科,不需要融资,"移动互联网,数据服务",Null,"五险一金,周末双休,年终奖,福利活动带薪年假 绩效奖金 大数据 数据分析 ",1-3年,4750004,Oracle 数据分析 ,数据分析师（揭阳驻点）,全职,揭阳,精点数据,4k-6k,开发|测试|运维类-数据开发-数据分析,2019/4/24 15:36,Oracle 数据分析 ,"
揭阳 -
                    榕城区
                                            - 二号路全球通大厦（揭阳移动）
                                                            查看地图
","
工作职责：
1.协助揭阳移动分公司现场代维提数项目；
2.主要从事数据提取工作，工作内容包括与客户沟通数据需求，根据需求方所提供的的工单，明确具体口径，从数据集市提取相对应的数据，解决广东移动各分公司各部门的数据需求问题，为广东移动各分公司及各服务商提供数据支持。

职位要求：
1.本科以上计算机、电子通讯、数学、统计等相关专业毕业；
2.熟悉Oracle,DB2,Teredata等其中之一的大型数据库；
3.有电信行业大型项目经验优先；
4.有移动业务经营分析经验者优先；
5.具备较好的团队协作能力和及沟通能力；
6.考虑在揭阳工作，揭阳本地人最佳。

职位诱惑：
1.周末双休；
2.五险一金；
3.重大节日礼品、团建活动等；
4.带薪年假、带薪病假、年度调薪、年终奖等。

上班地址：揭阳市榕城区建阳路金叶花园
上班时间：周一至周五8:30-17:30（12:00-14:00吃饭休息）
"
13,1,上海莉莉丝科技股份有限公司,150-500人,本科,不需要融资,"移动互联网,游戏",游戏 ,"弹性工作,福利待遇好,工作氛围好都是萌妹子 项目奖金 零食无限量 牛逼的同事 ",1-3年,5762557,游戏 ,数据分析师,全职,上海,莉莉丝游戏,12k-24k,开发|测试|运维类-数据开发-数据分析,2019/4/24 15:03,Null,"
上海 -
                    闵行区
                                            - 上海市闵行区莲花路1978号新意城B栋
                                                            查看地图
","
        岗位职责:

1) 帮助游戏业务的各个环节(研发,运营,发行)提供决策需要的数据分析支持2) 提取，分析数据信息，并将分析结果以报表形式展示3）通过数据分析，对业务提出优化建议4）完成数据挖掘算法的实现和迭代优化
任职资格:

1）统计，数学，计算机相关专业优先2）熟练掌握常用统计分析方法和统计学习模型，有游戏，互联网行业背景优先3) 熟练使用SQL,Python,R等常用数据分析工具和语言4) 思维清晰, 逻辑严谨,对数字敏感,善于从数据中发现问题5）较强的逻辑思维能力，语言表达能力及协调能力6) 喜欢玩游戏, 理解游戏的业务逻辑
"
14,1,广东健客医药有限公司,500-2000人,本科,B轮,"电子商务,医疗健康",电商 行业分析 市场竞争分析 市场分析 消费者分析 ,周末双休、五险一金、带薪年假节日礼物 技能培训 绩效奖金 年度旅游 ,3-5年,5850287,电商 行业分析 市场竞争分析 市场分析 消费者分析 ,数据分析员,全职,广州,健客网,7k-12k,市场|商务类-市场|营销-商业数据分析,2019/4/24 13:55,行业分析 市场竞争分析 市场分析 消费者分析 ,"
广州 -
                    萝岗区
                                            - 萝岗区科学大道中99号科汇金谷S栋四街4号一楼前台大厅
                                                            查看地图
","
工作职责：
1、负责官网及三方平台定价机制的制定，建立价格模型；
2、负责价格运营管理，根据公司战略及竞品态势，制定周期性价格策略及市场应对机制；
3、根据价格策略，每日监控市场重点单品的价格，及时提出价格行动方案，保持价格竞争力，并跟踪效果进行总结；
4、研究价格的合理性，用户价格敏感性，商品属性，及市场行业排行对应的竞争层级等形成跟价规则；
5、研究平台的价格差异化策略，考虑品类和用户等；
6、通过建立模型和用户分析，参与制定促销价格折扣政策；

任职资格：
1.本科及以上学历；统计学、数学、计算机专业优先，或医药相关专业；
2.2年以上价格策略、价格分析工作经验；平台型互联网公司工作经验优先，或有传统零售行业定价经验、具备定价场景分析能力；
3.沟通能力强，能够独立完成跨部门的资源沟通与协调工作 ；
4.具备运用数据分析软件（如SPSS、Tableau），SQL语言及其他相关工具的技能；
5.快速学习能力及适应变化的能力，富有进取创新精神和团队合作意识。
"
15,1,亿达信息技术（深圳）有限公司,2000人以上,本科,不需要融资,"移动互联网,游戏",Null,免费班车 免费早餐 大型项目,1-3年,5858527,数据运营 SQL 数据库 ,数据分析,全职,深圳,YIDATEC,10k-12k,产品|需求|项目类-数据分析-数据分析,2019/4/23 18:16,数据运营 SQL 数据库 ,"
深圳 -
                    南山区 -
                    大冲
                                            - 讯美科技大厦
                                                            查看地图
","
岗位职责
1.负责微视全部功能数据埋点制定；
2.协助数据分析师进行业务数据洞察；
3.进行数据支撑工作
岗位要求
1.本科学历及以上学历；
2.熟练使用excel；
3.熟练使用SQL进行数据提取及分析；
4.具备ETL优先考虑（熟悉mysql等数据库，熟悉hadoop，hive，熟悉pel、shell脚本。
"
16,1,北京数美时代科技有限公司,150-500人,本科,B轮,"企业服务,数据服务",Null,飞速发展、海量数据、股票期权、待遇给力年底双薪 大数据 带薪年假 通讯津贴 ,应届毕业生,5465900,数据分析 ,数据分析师,全职,北京,数美,10k-20k,产品|需求|项目类-数据分析-数据分析,2019/4/24 21:55,数据分析 ,"
北京 -
                    朝阳区
                                            - 望京诚盈中心
                                                            查看地图
","
【岗位职责】
1、负责产品的策略、效果的分析，给出策略持续优化的意见
2、深入理解业务，发现业务特征，进行衍生数据价值挖掘

【任职条件】
1、数学、统计学、经济学、计算机等相关专业者优先；本科及以上学历
2、熟练掌握多种统计和分析方法，精通SQL、Excel等
3、思路开阔且灵活，对数字敏感，善于从数据中发现问题并抓住重点；
4，具备良好的数据敏感度、良好的逻辑思维，能及时发现和分析数据中隐含的变化和问题；
5、良好的逻辑思维能力，能够从海量数据中发现有价值的规律


公司福利待遇：
有竞争力的薪酬
期权奖励
五险一金+商业保险
午餐+晚餐补助
交通+通讯+电脑补贴
结婚+生育+丧葬+住院礼金
伯乐奖金
年假8天起+带薪病假
年度体检、零食畅享、团队建设、生日会、弹性办公
 

数美领先的大数据技术、产品与服务提供商
我们正在经历一个IT到DT的变革时代。大数据已经渗透到各个环节，各个角落。
这个世界，就是掩藏在表象之下，被数据所揭示的世界！
数美依托积累的海量数据、科技前沿技术， 极致的工匠精神和对数据的深度理解，提供领先的大数据产品与服务。 
我们正在寻找不平凡的你，和我们一起“发现数据之美”
欢迎投递简历


【关于数美】www.ishumei.com
      数美由百度、小米、360等顶尖互联网公司联合投资的大数据公司，致力于利用人工智能技术和海量数据解决金融、互联网等领域广泛存在的欺诈问题，先后推出了信贷反欺诈、内容反欺诈、行为反欺诈等系列产品，      
     目前已服务数百家客户，覆盖直播、金融、支付、社交、电商、游戏、O2O等行业。其中包括中信银行、360、小米、58同城、爱奇艺、酷狗、用钱宝、点融、挖财、闪银、熊猫TV、花椒、唱吧等知名企业，并与腾讯云、金山云、七牛云等云服务提供商展开深度合作。
    数美的创始人唐会军在搜索、安全、语音识别等大数据领域拥有十余年研发经验，曾历任百度系统技术负责人、360高级技术总监等职位。创始团队均来自百度、360、小米、宜信、FICO等知名互联网公司，数美核心团队是国内最早一批从事大数据平台与应用研发的团队，曾负责过的大数据平台规模居全球前十。国际顶尖反欺诈技术，拥有十余项专利，同时在安全，反作弊、推荐，广告，语音识别等领域有着丰富的大数据成功应用经验。
           www.ishumei.com
"
17,1,广东精点数据科技股份有限公司,150-500人,不限,不需要融资,"移动互联网,数据服务",Null,周末双休 五险一金 年终奖 年度调薪带薪年假 绩效奖金 大数据 数据分析 ,1-3年,5331443,数据分析 MySQL Spark ,数据分析师（广州）,全职,广州,精点数据,5k-7k,开发|测试|运维类-数据开发-数据分析,2019/4/24 15:36,数据分析 MySQL Spark ,"
广州 -
                    天河区 -
                    龙口
                                            - 天河北路610号金海大厦17楼
                                                            查看地图
","
岗位职责：
1.主要负责广州移动公司运营各个环节的重要数据的提取、收集、整理及分析支撑工作，完成数据库分析、设计与优化；
2.负责电信行业业务分析项目的过程实施，响应业务部门的其他数据分析需求；
3.做好移动业务数据分析工作：用户通话行为、位置轨迹、上网行为、消费行为、客户投诉等数据的分析和提取。

岗位要求：
1.本科及以上学历，计算机、电子通讯、数学、统计学等相关专业，一年以上工作经验；
2.具备大型数据库理论知识，并能熟练掌握使用Oracle、SQL、Mysql、DB2、Teredata等其中之一种数据库，能独立编写SQL语言；
3.有移动业务经营分析经验者、从事过数据分析工作经验、或有电信行业大型项目经验者最佳；
4.对电信行业有一定了解，志愿在【广州】长期发展；
5.具备较好的团队协作能力及沟通能力。

职位诱惑：
1.周末双休（朝九晚六，7h/天）；
2.五险一金；
3.重大节日礼品、团建活动等；
4.带薪年假、带薪病假、年度调薪、年终奖等。

上班地址：广州市天河区天河北路610号金海大厦17楼
上班时间：周一至周五8:30-17:30（12:00-14:00吃饭休息）
"
18,1,杭州轻山科技有限公司,15-50人,大专,不需要融资,金融,移动互联网 可视化 数据运营 ,"每天水果,国外旅游,扁平化定期体检 水果零食 弹性工作时间 绩效奖金 ",1-3年,5858838,移动互联网 可视化 数据运营 ,数据分析,全职,杭州,轻山科技,6k-9k,产品|需求|项目类-数据分析-数据分析,2019/4/23 19:27,可视化 数据运营 ,"
杭州 -
                    西湖区 -
                    三墩
                                            - 西城博司
                                                            查看地图
","
1、通过数据分析为公司运营决策、产品方向提供数据支持，结合业务日常看数和分析需求，设计并优化数据报表；
2、与业务团队紧密合作，制定数据监测体系，挖掘业务问题和痛点；
3、通过数据分析，挖掘平台的特性和效率，寻找业务增长的撬动点；
4、通过大数据挖掘用户群体行为和属性特征；

任职条件：
1、一年以上数据分析相关工作；
2、强大的数据操控和管理能力，熟练使用Excel；
3、扎实的数据解读能力，能快速对数据的深层次商业含义做出剖析，做深入的思考和关联；
4、具备良好的商业触觉，以数据为论据和基础，及时发现和分析业务中隐含的商业变化和问题；
"
19,1,北京三快在线科技有限公司,2000人以上,本科,上市公司,"移动互联网,O2O",数据分析 ,大平台 成长快技能培训 绩效奖金 岗位晋升 领导好 ,1-3年,5864494,数据分析 ,数据分析师（业务支持）,全职,北京,美团点评,10k-15k,产品|需求|项目类-数据分析-数据分析,2019/4/24 18:38,Null,"
北京 -
                    朝阳区
                                            - 望京国际研发园恒基伟业大厦B/C座
                                                            查看地图
","
        岗位描述：
1.日常数据，在业务部门的指标设定、业务计划、激励考核等业务相关的工作中，提出专业的见解和解决方案，为业务数据沉淀、数据管理和数据规划提供支撑；
2.数据监控&数据运营，根据业务要求以及运营状况，不定期的针对特定问题做专题分析，根据分析的结论，协助各业务部门制定目标及行动计划；
3.大数据数据分析及监控系统的优化 ，完善和优化大数据分析平台，提出产品需求和设计方案，推动完成。
岗位要求：
1.本科及以上学历，数学、统计学、计算机专业优先；
2.较为丰富的数据运营经验，有自己的数据分析思路和方法论，有市场研究、商业分析等互联网公司数据分析经验者优先；
3.掌握常用数据统计分析方法，思维敏捷、对数据具有敏锐的洞察和分析能力，具有创新意识，能独立提出分析方案和思路，有较好的报告撰写功底；
4.熟练使用SQL、数据分析类软件，会python者优先；
5.优秀的逻辑思维和分析能力，并具有较强执行力和沟通协调能力。
        "
